name	review	raiting	quality
Toy Story (1995)	Andy's toys live a reasonable life of fun and peace, their only worries are birthdays and Christmases, when new toys could easily replace those already there.  One such birthday Andy's top toy, Woody the cowboy, finds himself in direct competition with Andy's new Buzz Lightyear doll.  When rivalries boil over Woody tries to hide Buzz down the side of the bed but accidentally pushes him out the window, the other tops expel Woody, and he leaves with no choice but to find Buzz and return him to the I am a big fan of the animated movies coming from the Pixar Studios. They are always looking for the newest technological possibilities to use in their movies, creating movies that are more than just worth a watch, even when they were made a decade ago.The movie is about toys that come to life when their owner is asleep or not in the same room. When the young boy's birthday is coming up, all the toys are nervous. They don't want to be ignored when the new one arrives. Woody This is a very clever animated story that was a big hit, and justifiably so. It had a terrific sequel and if a third film came out, that would probably be a hit, too.When this came out, computer technology just was beginning to strut its stuff. Man, this looked awesome. Now, it's routine because animation, which took a giant leap with this movie, has made a lot more giant strides.The humor in here, however, is what made this so popular. There are tons of funny lines, issued by characters voiced Toy Story is the film that started Pixar Animated Studios into its long string of never ending success. What Pixar does is not just absorb the younger demographic and keep the older ones mildly entertained. It completely absorbs everyone watching no matter the age or the level of maturity, films of Pixar, starting from Toy Story, have kept a certain magical touch around it with an unexpected amount of depth. Everyone as a child imagines their toys will come alive and go on their own adventures. One of the great Y'know, I always suspected that my toys were coming to life when I wasn't looking! In Andy's Room, his toys lead lives of noisy desperation come every birthday and Christmas - no one wants to be one-upped by a new addition to the toy box. Nominally led by Cowboy Woody (there's a Brokeback joke in there just waiting to happen), Mr. Potato Head, Rex the Dinosaur, Ham the piggybank, Bo Peep, Slinky the dog and a smattering of other playthings go about their toy business of playing checkers, hanging with 	8.3	1
Jumanji (1995)	"The smash hit 1995 film Jumanji- based on the children's book- is a great family film. The plot of the story involves a young boy named Alan Parrish who in the 1960's finds a supernatural board game, that was buried underground in the 1800's. Alan is instantly drawn into playing the game, and Sarah-a girl who lives close to him- also joins in the game. After the powers of the game transport young Alan into the jungles of the board game, no one believes Sarah's story of what happened, and Among the thousands of films I have viewed, this movie would rank near the top for sheer entertainment. That's not saying it's the best-made or most intelligent or scariest or funniest or features the best effects, etc. etc. But combine all those and you have a film that's tough to beat when you're looking for 100 minutes of escapist fun.The film features some wild computer-enhanced special effects that were new to its day, but now about 10 years later, it's no big deal. In fact, some of it, such as I just used to love ""Jumanji"" as a kid. This was what was Oscar worthy to me, because I loved the special effects and Robin Williams. Even though I think I over did it with the Oscar worthy thoughts, still to this day I enjoy ""Jumanji"". It's a great family film that will make you feel good and have fun with.Robin Williams plays Alan, a boy who when he was little and had a horrible fight with his father plays a game with his friend, Sarah, and the game happens There is only one way to describe Jumanji: excellent. The plot is very, original, with outstanding concepts Find a comfortable chair, lay out the board, grab the dice, and get ready to play.  But remember:  once you start this game, you can't stop.  If it takes you over twenty years to finish, finish you must.""Jumanji"" is loosely based on the Caldecott Medal-winning children's book by Chris Van Allsburg.  The basic premise stays the same:  a sister and brother find a strange game based on a jungle safari adventure.  When they begin playing it, they find they cannot stop, for the characters "	6.9	0
Grumpier Old Men (1995)	"Some people see this as an inferior sequel to the first movie ""Grumpy Old Men"". I don't agree, i love the first one but i think this one is every bit as good and in some ways..even better than the original. Walter Matthau and Jack Lemmon are my favorite comedy team. The Fortune Cookie is a classic and i also love ""Buddy Buddy"" and ""The Odd Couple Parts 1 and 2 but the Grumpies hold a special place in my heart. I was personally hoping for another Grumpy movie but Sequels are rarely half as good as the original film. Matthau and Lennon would prove this at the tale end of their film partnership with THE ODD COUPLE PART II. But it has happened. ANOTHER THIN MAN is as good a film as THE THIN MAN. Vincent Minelli's follow up to FATHER OF THE BRIDE may lack the satire of weddings the original had, but FATHER'S LITTLE DIVIDEND is well made and entertaining in it's own right. And then there is this film. Of the first movie, GRUMPY OLD MEN, ""Grumpier Old Men"" is the equally funny sequel to ""Grumpy Old Men"". Jack Lemmon and Walter Matthau return as John and Max, the longtime neighbors who in this movie have reconciled their friendship. Ann-Margret is back as Ariel, John's new wife. So is Burgess Meredith as Lemmon's horny dad, and also returning are Daryl Hannah and Kevin Pollak as Lemmon's daughter and Matthau's son who are now engaged to each other and their fathers help them out to plan their wedding with some bizarre ideas. But the real scene stealer This movie is downright hilarious with tons of good Nothing's different in this lovely follow up to the sleeper hit original. Lemmon and "	6.6	0
Waiting to Exhale (1995)	"I read some of the other comments comcerning this movie. And personally i thought that this movie was greatly misinterpreted. This movie (while have some ""man-bashing"" elements) is more about the friendship of four strong real black women who represent a little part of most women in society. I love this movie. I think that it has humor, depth, and presents a very real perspective on love and dating in today's world. And while men might take offense to the representation of the male gender in this movie, I think This was a good movie, even though I'm not the target audience.  It's nice to see that black women had a movie about them, and thanks to the star power of Whitney Houston it became no.1 and was a big hit.  I am actually tired of reading little comments saying that Whitney isn't that good of an actress because all of those comments are based on the fact that she's a singer.  If she wasn't a famous singer, nobody would say anything bad about her acting. IMO, While this movie truly is bound to be more appealing to women than men, it is a touching story of four best friends. How they stick together and grow together through life's mistakes, joys, and bad taste in men. I love Angela Bassett and she is outstanding in this movie. The other 3 ladies, Whitney,Lela, and Loretta do great jobs too. This movie is filled with sweet moments, great laughter, and maybe some tears. Just a wonderful movie that shows what friendship is about. I have not read the book, I have the video of this movie and it grew on me as time passed. It's not a great movie but it is enjoyable and as has been pointed out by others, it feels good to see a movie about women of color for a change. However, the movie would not have been watchable without the formidable talents of Angela Bassett and Loretta Devine. I felt that they really were Bernadine and Gloria -- even their smallest gestures were in tune with their characters. I don't have the words to Angela Basset was good as expected, but Whitney has no Range as an actress. The screenplay also neglected to portray, on film, the greatness of this novel.  Instead of promoting sisterhood, they emphasized the canine-qualities of men.  Read the book; rent Soul "	5.8	0
Father of the Bride Part II (1995)	"I enjoyed this film, as I did Father of the Bride (1991), though I had to suspend my credulity a lot. This film was less realistic than the film it was based on, Father's Little Dividend (1951), with Spencer Tracy and Elizabeth Taylor.  For example, it's unlikely that George Banks, a highly successful business owner who obviously must think through his decisions, would be so impetuous as to sell the house he loves and end up having to buy it back at a significant mark-up. (George and Nina decide That is one of my favorite lines, followed by ""and pack up your things and hit the road!  And don't trample the daisies!""  Or he says something like that.Anyway.  I went and saw this in theaters and amazingly enough, I really liked it.  One of the best Steve Martin films next to Bowfinger and Planes, Trains and Automobiles.  I enjoyed the acting, I enjoyed the story and everything else about this movie that made it great.  It wasn't a comedy going from one zinger A sequel to immensely likable Father of the Bride, 'Father of the Bride Part II' is A Well-Done Sequel! Its enjoyable as well as emotional!'Father of the Bride Part II' Synopsis: George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. 'Father of the Bride Part II' is worthy sequel of a wonderful prequel. The characters still appeal, the humor works & the emotional moments are heartfelt as well. Nancy As much as I want to rag this movie, make fun of it, call it all kinds of names, belittle it, mock it and otherwise totally trash it, I can't and that is for one reason: Steve Martin. Mr. Martin saves this movie from cinematic oblivion, allows this movie to survive, function and prosper. He is proof that an actor can save a sorry script, can raise the level of a story, can make a movie watchable. Mr. Martin proves once again that he is arguably the finest comedy actor This movie is as thin as you can get. Its' emotions are easily played. There are no surprises. It is very predictable. And I say...so what? What is wrong with that? This is an American Dream movie. Everything goes perfectly and everyone is as happy as can be. Why should it be a complicated character study? It deals with the birth of babies. There's no complex feelings that need to be dealt with in this situation. A life is being created. A family is being blessed. A baby's birth is "	6.0	0
Heat (1995)	One of the most amazing things about Heat is the scale of the film; it is nearly three hours long and packed to bursting with mind-blowing visuals. It seems one of Michael Mann's main priorities was to make a film with a dreamlike feel to it, to portray LA as a dusty oil-painting on which complex characters could play out their lives. One of the main themes is the similarity of the career criminal and the street-wise cop. It is fascinating to find yourself really feeling for DeNiro's tragic bank-robber, Sound like a bold statement? Devotees of classic cops and robbers flicks of old will no doubt take exception, but I believe that Michael Mann achieved some measure of perfection with Heat. To break this three-hour gem of a film down to its core, this is a film about men - strong men - and the supporting role that he women of the film have on them for better or worse. Take Pacino as good cop Vincent Hanna: one of the most intense characterizations of the tragic hero that I 'Heat,' a film of epic proportions on a common placed scale, provides all the essentials of a great crime drama and then some.  With a fascinating storyline, involving characters, and Mann's sometimes poetic, sometimes gritty directing, 'Heat' is arguably one of the best crime dramas.Perhaps the most unique feature of this movie is its manifold storyline, which focuses primarily on the main characters: Vincent Hanna and Neil McCauley.  Because of this complex storyline, it almost seems as if one is watching two movies, with one about each of For some reason I cannot stop thinking about this film lately.You know that feeling of having seen it about 3 or 4 times in the last 12 months is not enough? That's what I feel at the moment.I rate it as Mann's best. It's his most kinetic,vibrant(for a film mostly shot in steely blue),agonising,stirring,brash,violent and brilliance in such a simple story. What games did you play as a young kid? Cops and robbers.Good guy.Bad guy.We all know De Niro and Pacino could have been either main part,but can you imagine A masterpiece and one of the best action heist movies of all time! Heat (1995) is one of my personal favorite Al Pacino and Robert De Niro Action heist movie of all time! I love this movie to death! This movie has everything, action, drama, heist, great cast and incredible realistic great performance from Al Pacino and Robert De Niro! Provides fast and loose action with interesting characters. Great action movie!!!! One of the best for me!!!!!!!!! To this day this movie stands a classic action heist movie of all 	8.2	1
Sabrina (1995)	"I saw the original ""Sabrina"" before ever seeing the remake. I adored Audrey Hepburn in all of her movies, and this was not an exception. Her comedic timing was perfect. She was completely believable as a young ingenue, and of course, she would not be Audrey Hepburn if she weren't absolutely breakthtaking on screen. But while I enjoyed the original, I have seen it only once, whereas I have seen the remake so many times I have lost count! The 1995 ""Sabrina"" is a gem of a film. I keep Romantic is the word for this movie.  The story, the settings, everything adds up to romantic. And it's clean - no gratuitous sex scenes or foul language!  A rarity for a 90s movie.  This movie has a timeless quality to it, and part of the reason is the (again) extremely romantic score!  Many critics panned this version of ""Sabrina"", unfairly comparing it to the original Audrey Hepburn ""Sabrina"".  Nobody could ever compare to Audrey Hepburn, but Julia Ormond is a fine Sabrina in her own Tempting though it may be to compare this film to the 1954 version, you will miss the point if you do. To understand the true magic of Sydney Pollack's masterpiece, read the Samuel A. Taylor play both films were based on. While I'm sure the play was a great evening out at the theater between martinis in the 1950s, it's somewhat incredible that two film versions so profoundly translated this lightweight romantic comedy, each in its own time.In 1954, Billy Wilder used an incredible cast to entertain. No, Bogart should I was surprised at how good this movie is. A remake of a movie starring Audrey Hepburn, Humphrey Bogart and William Holden, directed by one of the greats of American cinema, Billy Wilder, is not exactly the kind of task for the faint of heart. The fact that Sydney Pollack (They Shoot Horses Don't They? (1969), Tootsie (1982), Out of Africa (1985), etc.) decided to do it must have raised a few eyebrows in Hollywood land.And let's just say I had preconceptions as I sat down to watch this. No Many won't agree, and the critics may have panned it, but I feel this fantastic , feel-good movie exemplifies what all great movies should be: entertaining , intelligent, thoughtful, with touches of comedy, pathos, and respect for the human condition.. I find myself watching this magnificent work over and over and over, and never tiring of it. I feel Harrison Ford delivers his best performance, bar none, and really shows that he is one our best actors. Julia Ormond: well, what can I say. Just absolutely the most beautiful, sexy, "	6.3	0
Tom and Huck (1995)	"We all know the story. There have been some pretty good Tom Sawyer movies made. This one capitalizes on star power for an audience that probably has never heard of the principle character. Putting these motives aside, it just doesn't work the best. While Jonathan Taylor Thomas is an adequate Tom, Brad Renfro is not a very good Huck. He is too much of a pretty boy. He is much too bright, though his character tries to make him otherwise. If you've read Twain, you know that he is tremendously Visually, Tom and Huck is eye-pleasing, and Jonathan Taylor Thomas and Brad Renfro make a good pair as Tom and Huck. Other cast members fit their parts. That the film did not strictly follow Mark Twain is no problem if you let the film story stand on its own. It is entertaining just for what it is.Tom and Huck is an interesting enough film, but the transformation of Eric Schweig in his portrayal of Injun Joe compared to his characterization of Uncas in The Last of the Mohicans, is the This version of the classic novel by Mark Twain makes a nice little movie, but fails to capture the humorous spirit of the book. Many hilarious scenes are missing and the writers have taken too many liberties with the plot.Jonathan Taylor Thomas is wonderful as Tom Sawyer. Unfortunately his charm does not last until the very end of the movie, but seems to fade after a while. It might possibly have something to do with the fact, that, even though this movie is based on ""The Adventures Of Tom Sawyer"", A mischievous young boy, Tom Sawyer (Jonathan Taylor Thomas),witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn (Brad Renfro), a boy with no future and no family.Going through the Top 250 lists from various years, somehow this ended up on the list for 1996. Of all the lists from 1996 through 2014, this first list is the most bizarre. Others have films that clearly do not belong, but none more than the 1996 list. And this is a prime example. How did a film that Oh, where to begin with this movie. I'll start with some of the good: Eric Schweig was perfectly cast as the murderous, intimidating, menacing Injun Joe. If I could create my own Tom Sawyer classic movie, I'd recast him. Same with Michael McShane as Muff Potter. Jonathan Taylor Thomas sounds like the perfect Tom Sawyer on paper; he does have a history of playing rambunctious, trouble-making boys, and he has a special place in my heart as Simba from The Lion King, my favorite Disney movie. But here...he's just alright. "	5.6	0
Sudden Death (1995)	"After the success of ""Die Hard"" there have been many movie clones of that great action film. There was ""Die Hard on a Ship"" (""Under Siege""), ""Die Hard on a Train"" (""Under Siege 2""), and ""Die Hard on a Bus"" (""Speed""), just to name a few. ""Sudden Death"" can be described as either ""Die Hard on the Ice"", ""Die Hard at a Hockey Game"" or ""Die Hard in an Arena"". You pick. Technically you could put all three titles into this movie and it'll still be pretty much the same I may be one of those movie buffs who's at least willing to confess that they're not a huge admirer or fan of a certain actor or director. Jean-Claude Van Damme would be near the top of my list of actors that I only admire although I've seen a few films where he has his name is on the poster.""Sudden Death"" is the second film that Van Damme has starred in with photographer/director Peter Hyams (""End of Days"", ""Timecop"") is at the helm.This film was based on an actual story I found this to be a very interesting action with with Powers Boothe fun to watch as the main villain, thanks to his dialog and no-nonsense approach. At least he wasn't one of those talk-first, shoot-maybe-later clichés from the world of film. The hockey scenes in here are realistic, too. However, the rest of the film doesn't exactly exhibit realism: lots of hokey stuff in here, too. At the end, the action really gets carried away and brings the rating down on this to a manageable ""7."" Otherwise, it would Sudden Death was a good action film. The plot was simple and easy to understand..It didnt try to become something it isnt and end up confusing you. Jean-Claude Van Damme gave a strong performance and so did Powers Boothe. He was extremely convincing as ""the bad guy"". The movie at times is a little far fetched..but most movies are.  I also thought it was very cool how Jean-Claude's character used lots of odd objects to create weapons(Fire extinguisher, tube and darts)..anyway if your looking for a good action movie Van-Damme is known for acting in two film "	5.7	0
GoldenEye (1995)	"GoldenEye (1995) is my number 1 personal favorite movie of all time! James Bond 007 action film the best one that was ever made. In my opinion it is the best one I love this movie to death! I grew up watching it as a child and Pierce Brosnan is my number 1 favorite James Bond. GoldenEye is the first film to star Pierce Brosnan as the fictional MI6 officer James Bond. The film was directed by Martin Campbell and is the first in the series not to take story Brosnan has the look, the style, the intelligence and the bravura that James Bond should have... As charming, sophisticated, and always in control of the situation, Bond called upon all his ability for improvising escapes from truly impossible situations... The new Bond drives a BMW, remains preferring his vodka martinis 'shaken but not stirred,' and uses a Walther PPK, 7.65mm... The famous announcement ""Bond, James Bond"" is changed... The plot line of ""Goldeneye"" revolves around an international terrorist organization calling itself Janus that steels a top-secret Russian weapon system named This is by far one of the best Bond films simply because it does not try to be a Bond film.  GoldenEye demonstrates an impressive independence that separates it from the tried-and-true-but-getting-boring Bond formula.  The one liners are not that great, but the action sequences are mindblowing. The chase scene is the best I have ever seen in any movie.  Period.  Purists will complain that there is a lack of gadgetry, but let them pout and go back to MacGyver reruns.  Possibility is not permissibility. After a 6 year hiatus the producers needed to make this film good enough to bring Bond back to the forefront, and in comparison to the films that followed, I believe this to be the best. Without a cold war to fuel plot lines, the story is able to step into new territories, with many great plot elements. Pierce Brosnan portrays Bond amazingly well in my opinion, and ties all the classic 007 elements together flawlessly. Although adhering to the Bond foundations, this film has a great, fresh feel to The James Bond franchise, in cinematic terms, began in 1962 with Dr No. There followed a Bond movie every couple of years or so (the longest gap between two 007 films was the three-year-hiatus separating The Man With The Golden Gun - 1974 - and The Spy Who Loved Me - 1977). Then, in 1989, with the release of Licence To Kill the series seemed to die. The box office returns of that film were disappointing; the then-Bond actor Timothy Dalton was axed; the film itself was presented in a "	7.2	0
